date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:35	841/841	---M-Z	200	added ('OK')	text/plain	date:Tue,%2013%20Dec%202022%2014:05:35%20GMT	https://www.avataar.ai/robots.txt		(from )
19:35:35	46506/46506	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2014:05:35%20GMT	https://www.avataar.ai/	D:/DOC/landingadc/adc/www.avataar.ai/index.html	(from )
19:35:36	131239/131239	---M-Z	200	added ('OK')	text/css	etag:%22e8e67165ff3b8bffb35a350282829067%22	https://uploads-ssl.webflow.com/63401dfb6edad1c1702f685c/css/avataar-new.webflow.8984dbaa2.min.css	D:/DOC/landingadc/adc/uploads-ssl.webflow.com/63401dfb6edad1c1702f685c/css/avataar-new.webflow.8984dbaa2.min.css	(from https://www.avataar.ai/)
19:35:36	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/DOC/landingadc/adc/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.avataar.ai/)
19:35:37	807/807	---M--	200	added ('OK')	image/png	etag:%22db66141965e4eeecb640cce3af84cdf3%22	https://uploads-ssl.webflow.com/63401dfb6edad1c1702f685c/637c8df7106afaa98cea2f17_Avataar%20Favicon.png	D:/DOC/landingadc/adc/uploads-ssl.webflow.com/63401dfb6edad1c1702f685c/637c8df7106afaa98cea2f17_Avataar%20Favicon.png	(from https://www.avataar.ai/)
19:35:37	5480/5480	---M--	200	added ('OK')	image/png	etag:%2262f51d342a08ef930afcd9bdb44b8d4a%22	https://uploads-ssl.webflow.com/63401dfb6edad1c1702f685c/637c8dfa3b334ed062cbf20a_Avataar%20Webclip.png	D:/DOC/landingadc/adc/uploads-ssl.webflow.com/63401dfb6edad1c1702f685c/637c8dfa3b334ed062cbf20a_Avataar%20Webclip.png	(from https://www.avataar.ai/)
19:35:41	5713/5713	---M--	200	added ('OK')	application/javascript	etag:%22f6fe0abc4688f00531f6628665fcc7d0%22	https://web2.avataar.me/JS/iframe.js	D:/DOC/landingadc/adc/web2.avataar.me/JS/iframe.js	(from https://www.avataar.ai/)
19:35:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2013%20Dec%202022%2014:05:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/DOC/landingadc/adc/www.googletagmanager.com/gtm.65445.delayed	(from https://www.avataar.ai/)
19:35:42	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Dec%202022%2014:05:42%20GMT	https://www.avataar.ai/shopify	D:/DOC/landingadc/adc/www.avataar.ai/shopify	(from https://www.avataar.ai/)
19:35:42	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Dec%202022%2014:05:42%20GMT	https://www.avataar.ai/bigcommerce	D:/DOC/landingadc/adc/www.avataar.ai/bigcommerce	(from https://www.avataar.ai/)
19:35:43	60000/60000	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2014:05:43%20GMT	https://www.avataar.ai/enterprise	D:/DOC/landingadc/adc/www.avataar.ai/enterprise.html	(from https://www.avataar.ai/)
19:35:43	41175/41175	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2014:05:44%20GMT	https://www.avataar.ai/blog	D:/DOC/landingadc/adc/www.avataar.ai/blog.html	(from https://www.avataar.ai/)
19:35:44	157952/157952	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2014:05:44%20GMT	https://www.avataar.ai/about	D:/DOC/landingadc/adc/www.avataar.ai/about.html	(from https://www.avataar.ai/)
19:35:44	41510/41510	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2014:05:44%20GMT	https://www.avataar.ai/press	D:/DOC/landingadc/adc/www.avataar.ai/press.html	(from https://www.avataar.ai/)
